"Date","MBG.Open","MBG.High","MBG.Low","MBG.Close","MBG.Volume","MBG.Adjusted"
2012-12-31,30.781,30.792,30.769,27.309999,5200,24.230684
2013-01-02,30.826,30.848,30.803,27.370001,6000,24.283926
2013-01-03,30.803,30.814,30.758,27.309999,4100,24.230684
2013-01-04,30.769,30.781,30.736,27.290001,1500,24.21294
2013-01-07,30.702,30.736,30.69,27.27,2800,24.195196
2013-01-08,30.758,30.758,30.702,27.25,4500,24.177448
2013-01-09,30.69,30.747,30.679,27.23,13600,24.159704
2013-01-10,30.679,30.69,30.657,27.23,4300,24.159704
2013-01-11,30.826,30.826,30.702,27.299999,87000,24.221813
2013-01-14,30.769,30.769,30.758,27.299999,1000,24.221813
2013-01-15,30.747,30.792,30.747,27.290001,3200,24.21294
2013-01-16,30.781,30.781,30.702,27.280001,11700,24.204067
2013-01-17,30.736,30.747,30.657,27.200001,4400,24.133087
2013-01-18,30.657,30.724,30.645,27.219999,2800,24.150835
2013-01-22,30.657,30.724,30.657,27.200001,13800,24.133087
2013-01-23,30.679,30.69,30.668,27.209999,1900,24.141968
2013-01-24,30.668,30.679,30.634,27.209999,2700,24.141968
2013-01-25,30.578,30.612,30.578,27.129999,12900,24.070984
2013-01-28,30.555,30.578,30.521,27.129999,8700,24.070984
2013-01-29,30.6,30.612,30.566,27.129999,3300,24.070984
2013-01-30,30.533,30.589,30.533,27.139999,3200,24.079853
2013-01-31,30.566,30.612,30.555,27.110001,3900,24.053238
2013-02-01,30.616,30.616,30.582,27.139999,6300,24.08518
2013-02-04,30.594,30.65,30.594,27.16,3700,24.102932
2013-02-05,30.65,30.65,30.571,27.139999,13100,24.08518
2013-02-06,30.594,30.627,30.594,27.16,1500,24.102932
2013-02-07,30.605,30.627,30.605,27.17,4700,24.111813
2013-02-08,30.639,30.639,30.56,27.139999,4000,24.08518
2013-02-11,30.56,30.571,30.56,27.129999,5200,24.076305
2013-02-12,30.548,30.56,30.526,27.09,3500,24.040817
2013-02-13,30.537,30.582,30.537,27.120001,4200,24.06743
2013-02-14,30.537,30.605,30.537,27.15,5000,24.094057
2013-02-15,30.571,30.65,30.571,27.18,5200,24.120684
2013-02-19,30.819,30.819,30.672,27.23,3300,24.165058
2013-02-20,30.605,30.627,30.594,27.16,2800,24.102932
2013-02-21,30.605,30.605,30.605,27.16,0,24.102932
2013-02-22,30.605,30.627,30.571,27.129999,2700,24.076305
2013-02-25,30.582,30.616,30.56,27.17,24000,24.111813
2013-02-26,30.616,30.616,30.616,27.17,500,24.111813
2013-02-27,30.639,30.639,30.594,27.190001,2300,24.12956
2013-02-28,30.65,30.65,30.65,27.200001,400,24.138433
2013-03-01,30.654,30.677,30.654,27.23,7400,24.170387
2013-03-04,30.688,30.688,30.632,27.219999,1700,24.161509
2013-03-05,30.598,30.654,30.576,27.17,25600,24.11713
2013-03-06,30.609,30.632,30.587,27.16,3300,24.108257
2013-03-07,30.553,30.598,30.553,27.15,5800,24.099373
2013-03-08,30.519,30.576,30.519,27.1,3100,24.054993
2013-03-11,30.519,30.643,30.519,27.120001,4100,24.072742
2013-03-12,30.553,30.553,30.553,27.120001,0,24.072742
2013-03-13,30.553,30.609,30.542,27.15,5300,24.099373
2013-03-14,30.621,30.643,30.598,27.17,1700,24.11713
2013-03-15,30.598,30.654,30.564,27.129999,13800,24.081621
2013-03-18,30.621,30.666,30.621,27.190001,4400,24.134886
2013-03-19,30.621,30.666,30.621,27.219999,2600,24.161509
2013-03-20,30.643,30.654,30.643,27.209999,4700,24.152628
2013-03-21,30.677,30.677,30.621,27.209999,2500,24.152628
2013-03-22,30.609,30.654,30.598,27.16,24000,24.108257
2013-03-25,30.632,30.643,30.632,27.200001,1000,24.143761
2013-03-26,30.654,30.654,30.654,27.209999,1000,24.152628
2013-03-27,30.654,30.654,30.654,27.209999,0,24.152628
2013-03-28,30.632,30.666,30.609,27.200001,80300,24.143761
2013-04-01,30.635,30.725,30.635,27.23,114900,24.176609
2013-04-02,30.658,30.658,30.646,27.219999,3700,24.167732
2013-04-03,30.703,30.725,30.692,27.25,2200,24.19437
2013-04-04,30.692,30.782,30.692,27.33,14000,24.265396
2013-04-05,30.77,30.782,30.77,27.33,3200,24.265396
2013-04-08,30.737,30.793,30.737,27.309999,3600,24.247641
2013-04-09,30.646,30.759,30.646,27.280001,13500,24.221006
2013-04-10,30.703,30.782,30.692,27.280001,9500,24.221006
2013-04-11,30.725,30.725,30.309,27.25,640900,24.19437
2013-04-12,30.658,30.714,30.658,27.27,1700,24.212122
2013-04-15,30.41,30.759,30.41,27.290001,2700,24.229879
2013-04-16,30.68,30.725,30.68,27.280001,2300,24.221006
2013-04-17,30.68,30.748,30.669,27.299999,8000,24.238758
2013-04-18,30.703,30.737,30.692,27.27,5200,24.212122
2013-04-19,30.748,30.748,30.748,27.299999,300,24.238758
2013-04-22,30.669,30.737,30.669,27.290001,600,24.229879
2013-04-23,30.759,30.759,30.703,27.280001,4100,24.221006
